Afghanistan,lic
Montenegro,lic
Albania,lic
Morocco,lic
Algeria,lic
Mozambique,lic
American Samoa,lic
Myanmar,lic
Angola,lic
Namibia,lic
Armenia,lic
Nepal,lic
Azerbaijan,lic
Nicaragua,lic
Bangladesh,lic
Niger,lic
Belarus,lic
Nigeria,lic
Belize,lic
Pakistan,lic
Benin,lic
Palau,lic
Bhutan,lic
Panama,lic
Bolivia,lic
Papua New Guinea,lic
Bosnia and Herzegovina,lic
Paraguay,lic
Botswana,lic
Peru,lic
Brazil,lic
Philippines,lic
Bulgaria,lic
Romania,lic
Burkina Faso,lic
Rwanda,lic
Burundi,lic
Samoa,lic
Cambodia,lic
Ṣo Tom̩ and Principe,lic
Cameroon,lic
Senegal,lic
Cape Verde,lic
Serbia,lic
Central African Republic,lic
Sierra Leone,lic
Chad,lic
Solomon Islands,lic
China,lic
Somalia,lic
Colombia,lic
South Africa,lic
Comoros,lic
South Sudan,lic
Congo Dem. Rep.,lic
Sri Lanka,lic
Congo Rep.,lic
St. Lucia,lic
Costa Rica,lic
St. Vincent and the Grenadines,lic
C̫te d'Ivoire,lic
Sudan,lic
Cuba,lic
Suriname,lic
Djibouti,lic
Swaziland,lic
Dominica,lic
Syrian Arab Republic,lic
Dominican Republic,lic
Tajikistan,lic
Ecuador,lic
Tanzania,lic
Egypt Arab Rep.,lic
Thailand,lic
El Salvador,lic
Timor-Leste,lic
Eritrea,lic
Togo,lic
Ethiopia,lic
Tonga,lic
Fiji,lic
Tunisia,lic
Gabon,lic
Turkey,lic
Gambia The,lic
Turkmenistan,lic
Georgia,lic
Tuvalu,lic
Ghana,lic
Uganda,lic
Grenada,lic
Ukraine,lic
Guatemala,lic
Uzbekistan,lic
Guinea,lic
Vanuatu,lic
Guinea-Bissau,lic
Vietnam,lic
Guyana,lic
West Bank and Gaza,lic
Haiti,lic
Yemen,lic
Honduras,lic
Zambia,lic
India,lic
Zimbabwe,lic
Zimbabwe,lic
Indonesia,lic
Iran Islamic Rep.,lic
Iraq,lic
Jamaica,lic
Jordan,lic
Kazakhstan,lic
Kenya,lic
Kiribati,lic
Korea Dem. Rep.,lic
Kosovo,lic
Kyrgyz Republic,lic
Lao PDR,lic
Lebanon,lic
Lesotho,lic
Liberia,lic
Libya,lic
Macedonia FYR,lic
Madagascar,lic
Malawi,lic
Malaysia,lic
Maldives,lic
Mali,lic
Marshall Islands,lic
Mauritania,lic
Mauritius,lic
Mexico,lic
Micronesia Fed. Sts.,lic
Moldova,lic
Mongolia,lic